date,arabica_usd,robusta_usd,arabica_ma3,robusta_ma3,arabica_pct_change,robusta_pct_change,arabica_volatility,robusta_volatility,ugx_per_usd,arabica_ugx,robusta_ugx,rainfall_mm,temp_celsius,soil_moisture,rainfall_lag6,rainfall_lag9,drought_flag,health_score
2009-03-01,2.833377624,1.682345522,2.838815686666667,1.758331424666667,-0.7414272474513428,-4.874096235352776,5.190692267868946,5.651810457678172,2051.5452272727275,5812.802341578541,3451.4079262827454,2091.7913,24.723206,0.22575127,3436.4565,2597.1602,0,27.3
2009-04-01,2.973591456,1.665149486,2.887170352,1.7053470573333336,4.948646125116696,-1.0221465076660996,5.208401303580671,5.460648787012056,2175.61025,6469.376050986024,3622.716289523832,5048.266,22.69455,0.31931436,5137.76,3344.7593,0,78.9
2009-05-01,3.328755738,1.667133644,3.045241606,1.6715428840000002,11.943950177935946,0.1191579504832507,6.288315510302886,5.532947969662556,2247.6825,7481.986019077184,3747.1871167800296,3720.349,22.557861,0.3160102,3634.8892,3712.668,0,77.1
2009-06-01,3.302300298,1.626789098,3.201549164,1.6530240760000003,-0.7947546195112176,-2.41999471039408,6.259045847433782,5.300802559542404,2137.1795,7057.60849972949,3476.7403110690902,2021.753,22.674927,0.2758746,1060.1897,3436.4565,0,54.9
2009-07-01,3.10630958,1.580271616,3.2457885386666665,1.6247314526666672,-5.934975632552241,-2.8594660523106,6.515019894007601,4.867614991478143,2110.766304347826,6556.693592336847,3335.584078770087,1774.637,22.32608,0.26891193,2200.187,5137.76,0,51.1
2009-08-01,3.301638912,1.59504257,3.2367495966666664,1.600701094666667,6.288147622427265,0.9347098214285589,6.772202436391011,5.042661447991898,2071.6688095238096,6839.902354300526,3304.3999421316976,2851.1782,22.667175,0.28170002,1641.3832,3634.8892,0,58.2
2009-09-01,3.274522086,1.627450484,3.2274901926666666,1.600921556666667,-0.8213141025640969,2.0317899101589543,6.73719533958161,5.187043684893788,1961.903636363636,6424.29678787644,3192.90102256136,3684.1594,22.776672,0.29712632,2091.7913,1060.1897,0,66.7
2009-10-01,3.407681134,1.620616162,3.327947377333333,1.614369738666667,4.0665185484414,-0.4199403955567615,5.067722362913192,3.2144014259811717,1898.282619047619,6468.74186792868,3076.38749247226,4484.6934,22.55487,0.3170355,5048.266,2200.187,0,77.7
2009-11-01,3.355652102,1.531769976,3.345951774,1.593278874,-1.5268163291712544,-5.4822473132907,5.077051390205648,3.167750334824292,1873.77825,6287.7479232943815,2870.197265031822,3814.1765,22.627472,0.3050668,3720.349,1641.3832,0,71.1
2009-12-01,3.4868159689,1.5407207332,3.4167164016333333,1.564368957066667,3.908744497733396,0.5843408175014275,4.906089912985519,2.3736284927506275,1896.6370454545452,6613.224337298224,2922.188019287009,3882.615,22.429352,0.30591083,2021.753,2091.7913,0,71.5
2010-01-01,3.50314118,1.544997696,3.448536416966667,1.5391628017333334,0.4681982429130205,0.2775949403313937,4.63136257331472,2.3735562998124173,1935.626052631579,6780.771334054532,2990.537791633364,1852.9641,23.742035,0.26788455,1774.637,5048.266,0,50.5
2010-02-01,3.480213132,1.496496056,3.4900567603,1.5274048284000006,-0.6544996853366958,-3.1392694063926974,4.683461655562854,2.379786961496352,1996.536,6948.370805710752,2987.8082496620164,4145.3066,24.061493,0.27801615,2851.1782,3720.349,0,56.1
2010-03-01,3.6265999,1.48260695,3.536651404,1.5080335673333336,4.2062587102496,-0.9281084266352324,4.660715299424454,2.1063576400553803,2086.3663636363635,7566.416045727,3093.2612709735,4473.9116,23.337433,0.3199958,3684.1594,2021.753,0,79.3
2010-04-01,3.731098888,1.576744224,3.6126373066666666,1.5186157433333338,2.8814589665653534,6.3494423791821575,4.586483610031696,2.9952563889995694,2083.004,7771.893908099551,3284.364525568896,4406.9277,23.315765,0.32599947,4484.6934,1774.637,0,82.6
2010-05-01,3.820165536,1.556682182,3.725954774666667,1.5386777853333335,2.387142519498941,-1.2723713646532353,3.3723485356318723,2.999728219896064,2174.568333333333,8307.21100267696,3385.1117780414365,4869.3354,22.512482,0.34924752,3814.1765,2851.1782,0,95.5
2010-06-01,4.20861958,1.695793704,3.919961334666666,1.6097400366666672,10.16851338873499,8.936411273190759,4.17137160136072,3.980000038096578,2257.436,9500.68935019688,3828.145755982944,3305.9966,22.12909,0.3221774,3882.615,3684.1594,0,80.5
