date,rainfall_mm,temp_celsius,soil_moisture,rainfall_lag6,rainfall_lag9,drought_flag,health_score
2022-03-01,2110.4292,25.030426,0.21633531,5025.053,1736.5549,0,22.0
2022-04-01,4975.696,23.221039,0.29466102,3663.4973,2298.3857,0,65.3
2022-05-01,3717.436,22.614624,0.3139972,1989.9436,2753.5176,0,76.0
2022-06-01,1635.4808,22.010773,0.28722566,1781.9858,5025.053,0,61.2
2022-07-01,2123.7952,22.119934,0.25236315,1356.8845,3663.4973,0,41.9
2022-08-01,4273.052,21.41449,0.32363003,1125.4354,1989.9436,0,81.3
2022-09-01,1962.4742,21.903625,0.3261048,2110.4292,1781.9858,0,82.7
2022-10-01,1345.9946,23.00122,0.28678495,4975.696,1356.8845,0,61.0
2022-11-01,2393.412,22.275177,0.3030937,3717.436,1125.4354,0,70.0
2022-12-01,1459.3761,22.55841,0.27715722,1635.4808,2110.4292,0,55.6
2023-01-01,414.96588,24.082489,0.20125434,2123.7952,4975.696,1,13.7
2023-02-01,522.83954,25.435516,0.17798065,4273.052,3717.436,1,0.9
2023-03-01,2885.704,22.855438,0.30339015,1962.4742,1635.4808,0,70.1
2023-04-01,2886.0461,22.752106,0.31977972,1345.9946,2123.7952,0,79.2
2023-05-01,1358.3363,23.19223,0.31130016,2393.412,4273.052,0,74.5
2023-06-01,1720.7401,22.643463,0.29340944,1459.3761,1962.4742,0,64.6
2023-07-01,752.2633,22.815643,0.2708747,414.96588,1345.9946,1,52.2
2023-08-01,1053.7562,23.434357,0.26188505,522.83954,2393.412,1,47.2
2023-09-01,2262.0906,23.032898,0.30784437,2885.704,1459.3761,0,72.6
2023-10-01,2367.2285,23.228119,0.31579676,2886.0461,414.96588,0,77.0
2023-11-01,3670.5837,22.205261,0.3412644,1358.3363,522.83954,0,91.1
2023-12-01,1425.1302,23.549713,0.27686226,1720.7401,2885.704,0,55.5
2024-01-01,813.8667,24.48529,0.22334763,752.2633,2886.0461,1,25.9
2024-02-01,957.7422,25.27481,0.21407627,1053.7562,1358.3363,1,20.8
2024-03-01,2522.0361,25.729553,0.23760149,2262.0906,1720.7401,0,33.8
2024-04-01,5457.232,23.359894,0.3264448,2367.2285,752.2633,0,82.9
2024-05-01,3323.17,23.613464,0.31063172,3670.5837,1053.7562,0,74.1
2024-06-01,1706.0463,23.370453,0.26393005,1425.1302,2262.0906,0,48.3
2024-07-01,3367.3933,22.587128,0.28363314,813.8667,2367.2285,0,59.2
2024-08-01,3757.0022,22.25415,0.3205918,957.7422,3670.5837,0,79.6
2024-09-01,3285.4668,23.179932,0.29461563,2522.0361,1425.1302,0,65.3
2024-10-01,4096.2847,22.851044,0.31852612,5457.232,813.8667,0,78.5
2024-11-01,5089.0146,22.580109,0.31598145,3323.17,957.7422,0,77.1
2024-12-01,1722.4355,23.438293,0.26027086,1706.0463,2522.0361,0,46.3
2025-01-01,795.28656,24.773102,0.19549185,3367.3933,5457.232,1,10.5
2025-02-01,472.98965,26.28775,0.17929257,3757.0022,3323.17,1,1.6
2025-03-01,3089.4966,25.028778,0.2323021,3285.4668,1706.0463,0,30.9
2025-04-01,4752.928,23.18982,0.31766132,4096.2847,3367.3933,0,78.0
2025-05-01,3648.0596,22.734985,0.31933984,5089.0146,3757.0022,0,78.9
2025-06-01,1716.5159,22.838928,0.2694104,1722.4355,3285.4668,0,51.4
2025-07-01,3079.6929,22.125488,0.29808682,795.28656,4096.2847,0,67.2
2025-08-01,4335.8457,21.61206,0.32084048,472.98965,5089.0146,0,79.8
2025-09-01,3322.2861,22.744873,0.3051761,3089.4966,1722.4355,0,71.1
2025-10-01,4916.122,22.385284,0.3255123,4752.928,795.28656,0,82.4
2025-11-01,1931.9854,23.301025,0.28222427,3648.0596,472.98965,0,58.4
2025-12-01,2038.8597,23.61969,0.2227443,1716.5159,3089.4966,0,25.6
2026-01-01,655.5265,25.031769,0.19353764,3079.6929,4752.928,1,9.5
2026-02-01,3196.626,23.757568,0.24770461,4335.8457,3648.0596,0,39.4
2026-03-01,4624.353,22.861847,0.30892676,3322.2861,1716.5159,0,73.2
2026-04-01,3911.152,23.321075,0.3095021,4916.122,3079.6929,0,73.5
